"department","discount_band","num_transactions","total_sales","avg_basket_value","total_discount_given"
" ","0% - No Discount","7392","0.00","0.00","0.00"
"AUTOMOTIVE","0% - No Discount","65","452.66","6.96","0.00"
"CHARITABLE CONT","0% - No Discount","1","1.00","1.00","0.00"
"CHARITABLE CONT","1-10% Discount","1","6.74","6.74","-2.24"
"CHEF SHOPPE","0% - No Discount","678","2075.00","3.02","0.00"
"CHEF SHOPPE","1-10% Discount","74","215.80","2.70","-93.32"
"CNTRL/STORE SUP","0% - No Discount","21","49.05","2.34","0.00"
"COSMETICS","0% - No Discount","3565","22039.56","4.68","0.00"
"COSMETICS","1-10% Discount","2112","10320.81","3.46","-7133.86"
"COUP/STR & MFG","0% - No Discount","622","496.32","0.80","0.00"
"COUP/STR & MFG","1-10% Discount","195","531.40","2.73","-222.43"
"DAIRY DELI","0% - No Discount","36","52.51","1.46","0.00"
"DAIRY DELI","1-10% Discount","17","20.72","1.22","-2.07"
"DELI","0% - No Discount","24874","152886.09","4.20","0.00"
"DELI","1-10% Discount","19133","107980.42","4.09","-22481.21"
"DELI/SNACK BAR","0% - No Discount","11","36.08","3.28","0.00"
"DRUG GM","0% - No Discount","96167","778851.91","4.01","0.00"
"DRUG GM","1-10% Discount","50699","276506.12","3.33","-104770.05"
"ELECT &PLUMBING","0% - No Discount","1","1.00","1.00","0.00"
"FLORAL","0% - No Discount","3623","37082.33","8.75","0.00"
"FLORAL","1-10% Discount","278","2571.01","9.02","-1120.14"
"FROZEN GROCERY","0% - No Discount","212","586.87","2.72","0.00"
"FROZEN GROCERY","1-10% Discount","34","66.39","1.90","-33.46"
"GARDEN CENTER","0% - No Discount","527","6717.46","10.33","0.00"
"GARDEN CENTER","1-10% Discount","67","950.36","13.58","-1032.10"
"GM MERCH EXP","0% - No Discount","48","98.64","2.06","0.00"
"GM MERCH EXP","1-10% Discount","1","2.46","2.46","-2.97"
"GRO BAKERY","0% - No Discount","1","2.18","1.09","0.00"
"GROCERY","0% - No Discount","171187","1856157.41","2.66","0.00"
"GROCERY","1-10% Discount","180471","2237654.64","2.36","-817490.25"
"GROCERY","20-30% Discount","1","2.09","2.09","2.09"
"HBC","0% - No Discount","2","5.38","2.69","0.00"
"HBC","1-10% Discount","2","4.04","2.02","-1.34"
"HOUSEWARES","0% - No Discount","1","2.99","2.99","0.00"
"KIOSK-GAS","0% - No Discount","1793","29526.87","16.47","0.00"
"KIOSK-GAS","1-10% Discount","20266","514695.41","25.40","-17225.44"
"MEAT","0% - No Discount","30480","246827.55","6.04","0.00"
"MEAT","1-10% Discount","34052","301959.26","6.35","-176692.68"
"MEAT-PCKGD","0% - No Discount","29624","156271.96","3.76","0.00"
"MEAT-PCKGD","1-10% Discount","42289","256156.83","3.64","-119451.84"
"MEAT-PCKGD","30%+ Discount","1","7.98","7.98","3.99"
"MEAT-WHSE","0% - No Discount","6","7.00","1.17","0.00"
"MISC SALES TRAN","0% - No Discount","3114","30610.87","9.65","0.00"
"MISC SALES TRAN","1-10% Discount","2878","89349.17","31.05","-3035.69"
"MISC. TRANS.","0% - No Discount","2119","10264.62","4.65","0.00"
"MISC. TRANS.","1-10% Discount","141","414.07","2.92","-322.80"
"NUTRITION","0% - No Discount","11036","60574.69","3.40","0.00"
"NUTRITION","1-10% Discount","8435","37094.35","2.58","-12202.43"
"PASTRY","0% - No Discount","21153","86412.49","3.42","0.00"
"PASTRY","1-10% Discount","11405","35327.37","2.73","-17578.39"
"PHARMACY SUPPLY","0% - No Discount","1","4.98","4.98","0.00"
"PHARMACY SUPPLY","1-10% Discount","5","11.94","2.39","-3.00"
"PHOTO","0% - No Discount","11","30.53","2.78","0.00"
"PHOTO","1-10% Discount","6","10.87","1.81","-8.66"
"PORK","0% - No Discount","2","15.70","7.85","0.00"
"POSTAL CENTER","0% - No Discount","19","22.51","1.18","0.00"
"POSTAL CENTER","1-10% Discount","1","1.50","1.50","-0.39"
"PROD-WHS SALES","0% - No Discount","4","7.52","1.88","0.00"
"PRODUCE","0% - No Discount","78015","430236.56","2.20","0.00"
"PRODUCE","1-10% Discount","41794","127215.55","2.06","-68383.67"
"RESTAURANT","0% - No Discount","381","1982.86","4.40","0.00"
"RESTAURANT","1-10% Discount","14","3.90","0.28","-52.75"
"RX","0% - No Discount","14","159.56","11.40","0.00"
"SALAD BAR","0% - No Discount","7419","28462.12","3.38","0.00"
"SALAD BAR","1-10% Discount","1043","2491.18","2.26","-881.09"
"SEAFOOD","0% - No Discount","2150","17284.94","7.22","0.00"
"SEAFOOD","1-10% Discount","1603","12211.98","7.19","-6470.63"
"SEAFOOD-PCKGD","0% - No Discount","3482","21405.91","5.43","0.00"
"SEAFOOD-PCKGD","1-10% Discount","6135","41687.71","5.73","-21385.57"
"SPIRITS","0% - No Discount","1922","21670.88","10.23","0.00"
"TOYS","0% - No Discount","4","6.66","1.67","0.00"
"TOYS","1-10% Discount","1","3.18","3.18","-3.20"
"TRAVEL & LEISUR","0% - No Discount","603","1938.11","3.19","0.00"
"TRAVEL & LEISUR","1-10% Discount","250","612.27","2.41","-244.31"
"VIDEO","0% - No Discount","3","34.77","11.59","0.00"
"VIDEO RENTAL","0% - No Discount","1","4.50","4.50","0.00"
"VIDEO RENTAL","1-10% Discount","4","16.96","4.24","-12.94"
